,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
abhd12,348.1272389833145,0.027431049898537067,0.19220717791167946,0.14271605356560527,0.8865144375941856,0.9456154001004646
abhd12b,293.45814514607576,-0.4492940441378934,0.22362654381659283,-2.0091266290212024,0.04452370626479538,0.15265270719358418
abhd13,581.7850789002928,0.08004523640124213,0.10592343997957188,0.7556895472492156,0.4498353525745086,0.6258578818427946
abhd14a,153.1176723086077,0.13031261566830876,0.21782896934248042,0.5982336328435061,0.5496840529035494,0.6957191456724784
abhd14b,1415.7165531521193,0.1942587197360967,0.21488697072073018,0.9040041798930555,0.365993184988919,0.5577039009354956
abhd15,776.9858382934241,-0.34751556842969944,0.24989901147858604,-1.3906240219740853,0.16433946801381938,0.3489253634249764
abhd16a,566.2938509078739,0.5475805108902991,0.16220187900017438,3.3759196518907806,0.0007356940080654936,0.010089517824898198
abhd16b,26.22717205838764,-0.2061770954328759,0.3012403952914211,-0.6844271175299029,0.49370549720376256,0.6492565442679616
abhd17a,319.72629297198483,0.2368955495249731,0.26048545547359864,0.9094386828403306,0.36311861063123696,0.5577039009354956
abhd17b,334.0227467413362,-0.023444064188657302,0.13056501849052693,-0.17955854071554606,0.857499155292455,0.9404764755138858
abhd17c,48.08802971820838,1.1382287674146507,0.30078773113268736,3.7841595570683055,0.0001542288606709655,0.003701492656103172
abhd18,871.3652472951617,-0.32423208072476245,0.1580617215840042,-2.0513004507068118,0.040237696623970615,0.14306736577411774
abhd2,15443.6456705108,0.34592575238899853,0.13517474798230672,2.5591004056044357,0.010494342639789779,0.06296605583873867
abhd3,530.6099702719995,0.21656217028020133,0.19002678471252346,1.1396402386527835,0.2544362140443658,0.43548431610887717
abhd4,246.49071809211398,0.7321917491465088,0.25540935657995456,2.8667381608523805,0.004147259815815932,0.03317807852652745
abhd5,338.02900699625417,0.3421517888341546,0.1763137248727647,1.9405851080570475,0.05230862184771046,0.17315957577173116
abhd6,1209.7021648638627,0.2564861394993282,0.2298155867978889,1.1160519748597153,0.26439988750365273,0.4376274000060459
abhd8,121.27723217342857,0.3823358197917118,0.2458989860731305,1.5548491105937496,0.1199820096772227,0.30321075541225334
abi1,820.7079886930655,0.2938128694010942,0.16893949114534568,1.7391603787199452,0.08200655658504176,0.22493226949040027
abi2,1806.7595275468245,0.23378388761741517,0.16382504612726403,1.4270338580329476,0.15357013556666846,0.3489253634249764
abi3,101.58617939148212,1.0241924294636837,0.32660501103715917,3.135874817753967,0.0017134232337504209,0.018276514493337823
abi3bp,411.63529914318275,-0.22464227909411452,0.16046084749921186,-1.3999818809084748,0.16151874438766778,0.3489253634249764
abl1,522.7059501031396,0.3001850614739648,0.16966124456388978,1.7693201664621958,0.07684045988482144,0.21696129849831938
abl2,797.5337273474139,-0.059491256446508246,0.183519548248331,-0.3241684987476493,0.7458104697890262,0.8626241578282713
ablim1,1872.9555220122359,0.04159652269591286,0.1463307571956666,0.2842637015832013,0.7762083011218112,0.8870952012820699
ablim2,37.34712762320907,0.21372057827933383,0.43704941539808184,0.4890078118161277,0.6248361663238396,0.7498033995886075
ablim3,1147.4232098032583,0.1586129004605628,0.23130410532323728,0.6857331833298345,0.49288137741443183,0.6492565442679616
abo,146.8295583090933,-0.21750909746486474,0.1878667287625604,-1.1577840253969,0.24695218399936048,0.43340666707083086
abr,381.9825129147711,0.5423002793521557,0.30483235087168886,1.779011570790998,0.07523786498423861,0.21696129849831938
abra,30.913464974859874,-0.2132596365785227,0.3210176493554259,-0.6643237124398879,0.506483147500451,0.6570592183789634
